ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASXJ03220261+4158250,1237661056355598369,50.5108666964564,41.9734820646661,3628,301,3,105,GALAXY,17.63112,15.49933,14.51669,13.9938,13.64525
UGC02621,1237661083199013263,49.1088148900083,41.5303693353522,3634,301,5,103,GALAXY,16.46121,14.47702,13.50614,12.95505,12.63042
CGCG540-074,1237661055281529331,49.114658177171,41.6270222128251,3628,301,1,100,GALAXY,16.65769,14.74323,13.81728,13.36086,12.9934
2MASXJ03224602+4149587,1237661056355664912,50.6918648395904,41.8330893777518,3628,301,3,106,GALAXY,17.97116,16.04774,15.1024,14.63665,14.25843
2MFGC02775,1237661059574596348,50.7209368105173,41.2300502887534,3629,301,1,71,GALAXY,17.68037,15.85541,14.86941,14.29136,13.91995
2MASXJ03214287+4202509,1237661056355533240,50.4285451347038,42.0475495483548,3628,301,3,104,GALAXY,19.25638,17.3852,16.46457,15.98718,15.65896
2MASXJ03163712+4147215,1237661055281529139,49.1546377565528,41.7892652322225,3628,301,1,100,GALAXY,18.33998,16.41492,15.46407,14.99112,14.62955
2MASXJ03210025+4208327,1237661056355467624,50.2509863640551,42.1422681104701,3628,301,3,103,GALAXY,17.87797,15.79241,14.80295,14.30954,13.92988
SDSSJ032051.44+420956.3,1237661056355467464,50.2143340647746,42.1656500611878,3628,301,3,103,GALAXY,18.52112,17.55469,17.17665,17.00565,16.83562
2MASXJ03222930+4103009,1237661055282118661,50.6220686154622,41.0500356977583,3628,301,1,109,STAR,16.19546,14.94808,14.44842,14.31578,14.26157
UGC02642,1237670960021111167,49.4792323678701,40.9262135500799,5934,301,2,224,GALAXY,17.50956,15.7452,14.88101,14.46792,14.19189
2MASXJ03214217+4205549,1237661056355533977,50.4257847567011,42.0984227598338,3628,301,3,104,GALAXY,18.13667,16.29109,15.35756,14.88833,14.50977
2MASXJ03232697+4124235,1237661055818924562,50.8623243977083,41.4064480701822,3628,301,2,108,GALAXY,17.53261,15.61666,14.61024,14.14187,13.80229
2MASXJ03224672+4156285,1237661056355598960,50.694593423561,41.9412303752567,3628,301,3,105,GALAXY,19.12178,16.90386,16.0979,15.65053,15.34898
LCSBS0531P,1237670457511182781,49.7058490978063,40.8275889383988,5817,301,2,243,GALAXY,17.62212,15.76443,14.89307,14.46237,14.12385
2MASXJ03162705+4110487,1237670458048118944,49.1126584465539,41.1802159339561,5817,301,3,244,GALAXY,17.76461,15.9789,15.15112,14.7178,14.42587
2MASXJ03175285+4053504,1237670960021111003,49.4702754916784,40.897244391608,5934,301,2,224,GALAXY,18.97111,17.03476,16.14923,15.7111,15.34563
IC0308,1237661121850966452,49.0659914258902,41.18073918031,3643,301,5,61,GALAXY,16.74162,14.63612,13.66908,13.14931,12.83525
