ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASSJ01214803+3255210,1237666214614990978,20.4501401238845,32.92249748377,4829,301,3,161,STAR,17.15143,16.0658,15.8269,15.76111,15.75663
SDSSJ012434.86+324643.5,1237666214078055434,21.1452597368244,32.7787676130799,4829,301,2,160,GALAXY,23.13544,21.15651,19.73466,19.14415,18.75906
2MASSJ01243211+3344272,1237666214078513701,21.1338689595276,33.7406412475695,4829,301,2,167,GALAXY,22.51904,20.54472,18.8332,18.22503,17.80063
SDSSJ012445.32+324726.8,1237678892278875063,21.1888694687518,32.7907931164936,7781,301,1,72,GALAXY,23.99689,21.26871,19.56509,18.9472,18.66713
SDSSJ012601.53+332523.4,1237678806920462488,21.5063836279983,33.4232247468609,7761,301,2,134,STAR,17.58726,17.64425,18.06331,18.32149,18.6233
SDSSJ012606.08+332227.1,1237666213541511393,21.5253395439673,33.3741924015598,4829,301,1,165,GALAXY,24.1913,21.69288,20.60827,19.65862,19.44736
SDSSJ012140.51+325622.9,1237678892278612599,20.4187961894183,32.9397144834152,7781,301,1,68,GALAXY,22.21616,21.61551,20.50374,19.62478,19.16747
CGCG502-044,1237678806383198467,20.322758909577,33.0903943098541,7761,301,1,128,GALAXY,16.84592,14.92896,14.09317,13.67556,13.35173
SDSSJ012312.12+334615.9,1237666214615384317,20.8005283872556,33.7710918773528,4829,301,3,167,STAR,20.81275,20.35409,20.14754,19.80255,19.84407
2MASSJ01211670+3325228,1237678806920069453,20.3196669826438,33.4230307693829,7761,301,2,128,GALAXY,20.95601,19.03006,17.65137,17.10334,16.68386
SDSSJ012117.27+330458.9,1237678806383198471,20.3219532247651,33.0829296468859,7761,301,1,128,STAR,20.9564,19.34834,18.77477,18.50134,18.40989
SDSSJ012331.03+334700.4,1237678807457071961,20.8793216073984,33.783475144386,7761,301,3,130,GALAXY,22.63421,21.21498,19.96233,19.15997,18.71421
SDSSJ012428.14+324512.2,1237666214078055364,21.1172875783131,32.7534050325413,4829,301,2,160,GALAXY,23.22427,21.69744,20.02116,19.35769,18.97567
2MASSJ01234280+3243333,1237666214078054480,20.9283725972438,32.7258719295188,4829,301,2,160,STAR,19.26824,17.76014,17.1844,16.98809,16.92896
SDSSJ012425.46+324457.4,1237666214078054815,21.1061004188214,32.7492875499452,4829,301,2,160,STAR,21.11689,20.62284,20.47656,20.44212,20.27156
SDSSJ012453.35+334322.0,1237666214078513247,21.2223213306741,33.722790070964,4829,301,2,167,STAR,18.84207,18.13498,18.0918,18.02363,17.87124
SDSSJ012148.33+333712.9,1237678893352289224,20.4513746101602,33.6202781199045,7781,301,3,67,GALAXY,26.54193,20.56588,18.91159,18.23245,17.86958
RMJ012148.3+333713.0,1237678893352289224,20.4513746101602,33.6202781199045,7781,301,3,67,GALAXY,26.54193,20.56588,18.91159,18.23245,17.86958
SDSSJ012150.85+333748.7,1237678893352289258,20.4618778215219,33.6302242385346,7781,301,3,67,GALAXY,22.52785,21.66211,20.06175,19.1384,18.62825
IC1677NED01,1237678892815417608,20.279084962143,33.2161163507763,7781,301,2,67,GALAXY,17.17518,15.38526,15.04715,14.86527,15.00089
SDSSJ012313.91+334701.3,1237666214615384327,20.8079756064592,33.7837040919107,4829,301,3,167,GALAXY,24.89386,23.48532,21.42119,20.18441,19.71261
KUG0121+335,1237666214078513572,21.1036183396073,33.7683204814099,4829,301,2,167,GALAXY,17.09675,15.95769,15.43718,15.19593,15.00326
SDSSJ012106.90+332008.6,1237678892815418114,20.2787840758401,33.3357421647652,7781,301,2,67,GALAXY,22.74575,21.64673,19.96299,19.14753,18.71413
RMJ012106.9+332008.6,1237678892815418114,20.2787840758401,33.3357421647652,7781,301,2,67,GALAXY,22.74575,21.64673,19.96299,19.14753,18.71413
